value #1,value #2,value #3,value #4,value #5,value #6,value #7,value #8,value #9,value #10,value #11,value #12,value #13,value #14,value #15,value #16,value #17,value #18,value #19,value #20,value #21,value #22
,Oculus 11WMHHB64B52146,Oculus2, Meta Quest 2,56.0.0.171.656,,2023-02-10 10:01:46 AM,2023-09-08 9:55:19 AM,Disconnected,12,2023.8.0 ,,37.99 of 128.00GB used,    63%,grupoimagine,100%,2437MHz,144Mbps,192.168.1.133,b4:17:a8:4f:4c:94,c6:bb:b1:72:3a:d4,
,Oculus21WMHHB604M2174,Oculus2, Meta Quest 2,56.0.0.171.656,,2023-02-10 10:40:29 AM,2023-09-09 11:23:21 AM,Disconnected,12,2023.34.0  (Latest),2023.34.0  (Latest),39.62 of 128.00GB used,    30%,BR-Visitantes,100%,2412MHz,144Mbps,10.14.73.80,b4:17:a8:5d:06:56,96:bf:cb:c6:62:cd,
,Oculus31WMHHB613Q2146,Oculus2, Meta Quest 2,56.0.0.171.656,,2023-02-10 10:49:49 AM,2023-09-12 10:01:45 AM,Disconnected,12,2023.34.0  (Latest),2023.34.0  (Latest),38.35 of 128.00GB used,    54%,Wi-Fi Unimagdalena,100%,5620MHz,192Mbps,192.168.50.47,b4:17:a8:4f:61:bc,a6:79:d8:fc:96:40,
,Oculus41WMHHB6ADW2152,Oculus2, Meta Quest 2,56.0.0.171.656,,2023-02-10 10:54:01 AM,2023-09-08 3:40:38 PM,Disconnected,12,2023.34.0  (Latest),2023.34.0  (Latest),38.74 of 128.00GB used,    64%,Wi-Fi Unimagdalena,75%,5300MHz,192Mbps,192.168.37.28,b4:17:a8:4d:51:8b,96:d2:d5:18:ca:2e,
,Oculus51WMHHB6CHM2151,Oculus2, Meta Quest 2,56.0.0.171.656,,2023-02-10 10:59:49 AM,2023-09-12 9:53:01 AM,Disconnected,12,2023.34.0  (Latest),2023.34.0  (Latest),36.05 of 128.00GB used,    63%,Wi-Fi Unimagdalena,100%,5620MHz,866Mbps,192.168.50.63,b4:17:a8:4a:55:c6,3e:aa:b0:aa:a1:39,
,Oculus61WMHHA66ER2133,Oculus2, Meta Quest 2,56.0.0.171.656,,2023-02-10 11:04:09 AM,2023-09-09 11:02:29 AM,Disconnected,12,2023.34.0  (Latest),2023.34.0  (Latest),44.96 of 128.00GB used,    63%,BR-Visitantes,75%,5180MHz,144Mbps,10.14.73.17,b4:17:a8:46:f9:e6,d6:17:1f:29:98:50,
,Oculus71WMHHA64DK2144,Oculus2, Meta Quest 2,56.0.0.171.656,,2023-02-10 11:13:36 AM,2023-09-12 2:43:28 PM,Disconnected,12,2023.34.0  (Latest),2023.34.0  (Latest),38.39 of 128.00GB used,    86%,Redmi 12,100%,2447MHz,96Mbps,192.168.141.151,b4:17:a8:4f:76:5f,46:b2:99:d7:a4:98,
,Oculus81WMHHB6G6P2207,Oculus2, Meta Quest 2,54.0.0.155.348,,2023-02-10 11:18:04 AM,2023-09-08 3:42:23 PM,Disconnected,12,2023.34.0  (Latest),2023.34.0  (Latest),36.70 of 128.00GB used,    45%,Wi-Fi Unimagdalena,100%,5300MHz,192Mbps,192.168.36.163,b4:17:a8:c4:b3:83,e6:a8:1a:48:c3:f0,
,Oculus91WMHHB6A0V2124,Oculus2, Meta Quest 2,56.0.0.171.656,,2023-02-10 12:25:36 PM,2023-09-12 10:04:48 AM,Disconnected,12,2023.34.0  (Latest),2023.34.0  (Latest),37.64 of 128.00GB used,    67%,Wi-Fi Unimagdalena,100%,5620MHz,192Mbps,192.168.50.176,b4:17:a8:43:50:0d,ca:a9:94:fb:5a:c6,
,Oculus101WMHHA64US2156,Oculus2, Meta Quest 2,56.0.0.165.656,,2023-02-10 12:18:33 PM,2023-09-12 10:03:48 AM,Disconnected,12,2023.34.0  (Latest),2023.34.0  (Latest),36.07 of 128.00GB used,    56%,Wi-Fi Unimagdalena,100%,5620MHz,192Mbps,192.168.50.52,b4:17:a8:50:5e:a3,1e:9f:f8:9a:44:f7,
,Oculus111WMHHA63UN2402,Oculus2, Meta Quest 2,53.0.0.137.132,,2023-02-10 12:29:34 PM,2023-07-04 11:09:23 AM,Disconnected,12,2023.25.0 ,2023.23.0 ,34.28 of 128.00GB used,    53%,Seneca,75%,5805MHz,300Mbps,157.253.207.155,b4:17:a8:f4:df:60,ba:7b:f2:50:91:41,
